"Source:","/home/jan/kicad/cm4-carrier/cm4-carrier.kicad_sch"
"Date:","Fri 30 Aug 2024 07:43:55 PM CEST"
"Tool:","Eeschema 6.0.11+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","10"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","Field4","Field5","MF","MP","PACKAGE","PRICE","STANDARD"
"","","D1","LED","Device:LED","SPIRIT-footprints:lumiled-LED","~","","","","","","","","",""
"","","J1","HDMI_D_1.4","Connector:HDMI_D_1.4","Connector_HDMI:HDMI_Micro-D_Molex_46765-1x01","http://pinoutguide.com/PortableDevices/micro_hdmi_type_d_pinout.shtml","","","","","","","","",""
"","","J2","Conn_01x22_Female","Connector:Conn_01x22_Female","CM4IO:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","~","","","","","","","","",""
"","","J3","35RAPC4BHN2","35RAPC4BHN2:35RAPC4BHN2","SPIRIT-footprints:35mm-jack-35RAPC4BHN2-switchcraft","","Good","Conn 3.5MM Stereo Jack F 5 POS Solder RA Thru-Hole 5 Terminal 1 Port","","","Switchcraft","35RAPC4BHN2","None","1.01 USD","Manufacturer Recommendation"
"","","J4","Conn_01x22_Female","Connector:Conn_01x22_Female","CM4IO:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","~","","","","","","","","",""
"","","J5","Conn_01x22_Female","Connector:Conn_01x22_Female","SPIRIT-footprints:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","~","","","","","","","","",""
"","","LS1","Speaker","Device:Speaker","SPIRIT-footprints:speaker-SP-1511S-1","~","","","","","","","","",""
"","","LS2","Speaker","Device:Speaker","SPIRIT-footprints:speaker-SP-1511S-1","~","","","","","","","","",""
"","","Module1","ComputeModule4-CM4","CM4IO:ComputeModule4-CM4","CM4IO:Raspberry-Pi-4-Compute-Module","","","","Hirose","2x DF40C-100DS-0.4V","","","","",""
"","","P1","USB_C_Plug","Connector:USB_C_Plug","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","","","","","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","Field4","Field5","MF","MP","PACKAGE","PRICE","STANDARD"
"1","1","D1","LED","Device:LED","SPIRIT-footprints:lumiled-LED","~","","","","","","","","",""
"2","1","J1","HDMI_D_1.4","Connector:HDMI_D_1.4","Connector_HDMI:HDMI_Micro-D_Molex_46765-1x01","http://pinoutguide.com/PortableDevices/micro_hdmi_type_d_pinout.shtml","","","","","","","","",""
"3","2","J2, J4","Conn_01x22_Female","Connector:Conn_01x22_Female","CM4IO:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","~","","","","","","","","",""
"4","1","J3","35RAPC4BHN2","35RAPC4BHN2:35RAPC4BHN2","SPIRIT-footprints:35mm-jack-35RAPC4BHN2-switchcraft","","Good","Conn 3.5MM Stereo Jack F 5 POS Solder RA Thru-Hole 5 Terminal 1 Port","","","Switchcraft","35RAPC4BHN2","None","1.01 USD","Manufacturer Recommendation"
"5","1","J5","Conn_01x22_Female","Connector:Conn_01x22_Female","SPIRIT-footprints:Hirose_FH12-22S-0.5SH_1x22-1MP_P0.50mm_Horizontal","~","","","","","","","","",""
"6","2","LS1, LS2","Speaker","Device:Speaker","SPIRIT-footprints:speaker-SP-1511S-1","~","","","","","","","","",""
"7","1","Module1","ComputeModule4-CM4","CM4IO:ComputeModule4-CM4","CM4IO:Raspberry-Pi-4-Compute-Module","","","","Hirose","2x DF40C-100DS-0.4V","","","","",""
"8","1","P1","USB_C_Plug","Connector:USB_C_Plug","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","","","","","","","","",""
